doc_id,verb_form,verb_form_start,verb_form_end,verb_lemma,arg1,arg1_start,arg1_end,arg1_pos,arg1_head,arg1_head_start,arg1_head_end,arg2,arg2_start,arg2_end,arg2_pos,arg2_head,arg2_head_start,arg2_head_end,rel_type,pred_serial,full_sentence_text
c2916073aa2a4e34eb60098398f7729e65c37784b2b30ca0e730c64d2f13d84c,gewann,5,11,gewinnen,Kamerun,12,19,N,Kamerun,12,19,Burkina Faso ,26,39,N,Burkina,26,33,con,"Predicate(type='con', args=(Head(sentence=3, token=2), Head(sentence=3, token=4)), strength=0, verb=1)","Dann gewann Kamerun gegen Burkina Faso , 2 : 1."
5818f2ae32c0c77a5ab140f868f21b4ef06da945c2990ac4cd2455654822b32c,überging,58,66,übergehen,Ignazio Cassis,67,81,N,Ignazio,67,74,den Favoriten,82,95,N,Favoriten,86,95,con,"Predicate(type='con', args=(Head(sentence=1, token=8), Head(sentence=1, token=11)), strength=0, verb=7)",EU-Botschafter Bei der Neubesetzung des wichtigen Postens überging Ignazio Cassis den Favoriten – und sagte über ihn im Bundesrat eine Unwahrheit .
91a8fd6a6cc26fe2e39b03fc6a9fa346ad00ad4ac25a224dd17cd9ff72630301,brachen,36,43,brechen,Die Spitzenvertreter der Demokraten,0,35,N,Spitzenvertreter,4,20,das Gespräch,44,56,N,Gespräch,48,56,con,"Predicate(type='con', args=(Head(sentence=11, token=1), Head(sentence=11, token=6)), strength=0, verb=4)",Die Spitzenvertreter der Demokraten brachen das Gespräch abrupt ab und verliessen das Weisse Haus .
d33d24c39ad910ecf832810f826bef81a6513947cf221b4793b0881cbbf47931,fehlen,9,15,fehlen,Freiräume,16,25,N,Freiräume,16,25,Zürich,2,8,N,Zürich,2,8,con,"Predicate(type='con', args=(Head(sentence=30, token=3), Head(sentence=30, token=1)), strength=0, verb=2)",« Zürich fehlen Freiräume .
ef3acd3cd134d0b2ae8a945b419814a51a1df74b9dd2d04df6c53ea28c5b9637,erregt,163,169,erregen,Der deutsche Zollbeamte ,0,24,N,Zollbeamte,13,23,die Unverschämtheit eines Schweins » erregt ,126,170,N,Unverschämtheit,130,145,con,"Predicate(type='con', args=(Head(sentence=17, token=2), Head(sentence=17, token=20)), strength=0, verb=24)","Der deutsche Zollbeamte , vor einem grossen Hitler-Porträt sitzend , hatte sich beim Anblick eines eintretenden Bauern über « die Unverschämtheit eines Schweins » erregt , « das vor dem Führerbild seine Mütze nicht abnahm » ."
b8a9f2c82904c2c9615d6c62c241c1f3382b57fa24e433c0577f89903acdd25c,schiesst,48,56,schießen,der beste Knipser der Challenge League,9,47,N,Knipser,19,26,GC,62,64,N,GC,62,64,con,"Predicate(type='con', args=(Head(sentence=0, token=4), Head(sentence=0, token=10)), strength=0, verb=8)",Turkes – der beste Knipser der Challenge League schiesst auch GC ab .
3df459039956f80e0fb613e355aa10a17aa00bfb2533d35fb204eeef3797c2c1,schossen,50,58,schießen,Schweizer Kampfflugzeuge,25,49,N,Kampfflugzeuge,35,49,deutsche Flugzeuge,64,82,N,Flugzeuge,73,82,con,"Predicate(type='con', args=(Head(sentence=11, token=6), Head(sentence=11, token=10)), strength=0, verb=7)","Man muss aber ergänzen : Schweizer Kampfflugzeuge schossen auch deutsche Flugzeuge ab , in der ersten Phase des Krieges ."
b1517a603ff47274e325dcc694276ba2f1d7aa09d0b3c23e3eb4f003f03ff254,siegt,148,153,siegen,Celestini übrigens,129,147,N,Celestini,129,138,Lugano,202,208,N,Lugano,202,208,con,"Predicate(type='con', args=(Head(sentence=14, token=22), Head(sentence=14, token=33)), strength=0, verb=24)","Trainer Maurizio Jacobacci : « Natürlich sind wir nach dem Spiel frustriert , beim entscheidenden Tor stand die Mauer falsch . » Celestini übrigens siegt nach zwei Remis und zwei Pleiten erstmals gegen Lugano – dank seinem Joker Tasar.MAURZIO URECH Varol Tasar ( l."
e2fd161051064ba074c97c23caae4e5475e1f33f30d8716fadcc144e52ef538a,verletze,14,22,verletzen,Die Verfügung,0,13,N,Verfügung,4,13,Art.,29,33,N,Art.,29,33,con,"Predicate(type='con', args=(Head(sentence=12, token=1), Head(sentence=12, token=4)), strength=0, verb=2)",Die Verfügung verletze zudem Art.
2a2b5f6814449609d5b135319ec0ef8a019112e2963197d57662bb9c70cc8022,verletzt,149,157,verletzen,die 8-Tage-Regel,105,121,N,8-Tage-Regel,109,121,das Freizügigkeitsabkommen,122,148,N,Freizügigkeitsabkommen,126,148,con,"Predicate(type='con', args=(Head(sentence=38, token=20), Head(sentence=38, token=22)), strength=0, verb=23)","Die EU fordere nicht generell den Abbau der flankierenden Massnahmen , « aber sie ist der Meinung , dass die 8-Tage-Regel das Freizügigkeitsabkommen verletzt » ."
6a52377c478a920b7cf4f2c491588c009b5b6921baa0794ce5c054141ea630c7,gewonnen,68,76,gewinnen,der FC Zürich,38,51,N,FC,42,44,GC gewonnen ,65,77,N,GC,65,67,con,"Predicate(type='con', args=(Head(sentence=8, token=9), Head(sentence=8, token=13)), strength=0, verb=14)","Seit Wochen , nein , seit Monaten hat der FC Zürich einzig gegen GC gewonnen , was in der laufenden Saison kein Kunststück ist ."
2bb88e1ee62f41eae4749e5e7670fa78129e73bba804217357c605a8fe428d23,brach,81,86,brechen,der Ringrichter,52,67,N,Ringrichter,56,67,den Fight,87,96,N,Fight,91,96,con,"Predicate(type='con', args=(Head(sentence=14, token=11), Head(sentence=14, token=16)), strength=0, verb=14)","Dann , nach einem Hagel an harten Schlägen , sprang der Ringrichter dazwischen , brach den Fight ab ."
dbcbcb1e415a4c57e266f4c40562044abe7122f63551de57c4df821347baa957,gewinnen,31,39,gewinnen,Novak Djokovic und Co,9,30,N,Novak,9,14,Spanien,46,53,N,Spanien,46,53,con,"Predicate(type='con', args=(Head(sentence=3, token=2), Head(sentence=3, token=8)), strength=0, verb=6)",Tennis – Novak Djokovic und Co gewinnen gegen Spanien und entscheiden somit den erstmals ausgetragenen ATP Cup für Serbien .
cd10bc5b4e9524ffbfbf9360537046e65fe8337d49522935f278db08ecbe52a5,brach,117,122,brechen,Helge Schneider,101,116,N,Helge,101,106,einen Auftritt,123,137,N,Auftritt,129,137,con,"Predicate(type='con', args=(Head(sentence=5, token=16), Head(sentence=5, token=20)), strength=0, verb=18)","Nicht allen passt das : Nena rief vergangene Woche bei einem Konzert zum Massnahmen-Ungehorsam auf , Helge Schneider brach einen Auftritt ab ."
40965052cd92c13738f25d2fe24c32a88f8ee4e0f09daccb980af245bde39704,verletzt,25,33,verletzen,St.,0,3,N,St.,0,3,Gallen,4,10,N,Gallen,4,10,con,"Predicate(type='con', args=(Head(sentence=38, token=0), Head(sentence=38, token=1)), strength=0, verb=5)",St. Gallen ohne Muheim ( verletzt ) .
6bfba9af5e56a584e7177dd3971a23af8fb190c5543eb1a418d031bac5ae8fc9,schoss,23,29,schießen,Ein 25-jähriger Rekrut,0,22,N,Rekrut,16,22,den Leiter eines Rekrutierungsbüros,34,69,N,Leiter,38,44,con,"Predicate(type='con', args=(Head(sentence=17, token=2), Head(sentence=17, token=6)), strength=0, verb=3)",Ein 25-jähriger Rekrut schoss auf den Leiter eines Rekrutierungsbüros .
3a4938e2b7ae9489b65a291a987d03db9ab3c13f83bd416c812b94d236bf1ce3,fehlt,15,20,fehlen,Die Sicherheit,0,14,N,Sicherheit,4,14,den Festivalfans,26,42,N,Festivalfans,30,42,con,"Predicate(type='con', args=(Head(sentence=8, token=1), Head(sentence=8, token=5)), strength=0, verb=2)",Die Sicherheit fehlt auch den Festivalfans .
51f3ae23de577023d68ad58d93c65dfb8743be8c12e94db6060f535550cd9ae6,gewinnt,12,19,gewinnen,Ambri,20,25,N,Ambri,20,25,Ajoie,32,37,N,Ajoie,32,37,con,"Predicate(type='con', args=(Head(sentence=21, token=3), Head(sentence=21, token=5)), strength=0, verb=2)",Tags darauf gewinnt Ambri gegen Ajoie .
2f58d454ea96575afe84a8e72f5712dd0cdbe47fed7f225f919f12a581e3aa5b,klagt,63,68,klagen,die Staatsanwaltschaft,27,49,N,Staatsanwaltschaft,31,49,Vincenz und Beat Stocker ( 61,69,98,N,Vincenz,69,76,con,"Predicate(type='con', args=(Head(sentence=13, token=5), Head(sentence=13, token=10)), strength=0, verb=9)","In der Anklageschrift geht die Staatsanwaltschaft aufs Ganze , klagt Vincenz und Beat Stocker ( 61 ) wegen Betruges an ."
