doc_id,verb_form,verb_form_start,verb_form_end,verb_lemma,arg1,arg1_start,arg1_end,arg1_pos,arg1_head,arg1_head_start,arg1_head_end,arg2,arg2_start,arg2_end,arg2_pos,arg2_head,arg2_head_start,arg2_head_end,rel_type,pred_serial,full_sentence_text
3bf5be69951bca7451c86796a21d782a95e862704998347a6626ab22197e79cd,brach,62,67,brechen,Thomas,0,6,N,Thomas,0,6,dieses Unterfangen,68,86,N,Unterfangen,75,86,con,"Predicate(type='con', args=(Head(sentence=30, token=0), Head(sentence=30, token=12)), strength=0, verb=10)","Thomas wollte 2020 noch einmal eine Saison Football spielen , brach dieses Unterfangen allerdings ab , als die Krampfanfälle immer häufiger und heftiger wurden ."
3d84ff5df0f288eee96abb27c275b26ce1f8af78f27deca6c0f8aa75915a24d3,brachen,8,15,brechen,die Räuber,16,26,N,Räuber,20,26,ihr Vorhaben,27,39,N,Vorhaben,31,39,con,"Predicate(type='con', args=(Head(sentence=7, token=3), Head(sentence=7, token=5)), strength=0, verb=1)",Deshalb brachen die Räuber ihr Vorhaben ab .
59bc3f50b0aacfa275e15a19e8635da6df7ea22cb3426a4853ee1366030e092e,brach,15,20,brechen,einst die High School,21,42,N,High,31,35,Action Bronson,0,14,N,Action,0,6,con,"Predicate(type='con', args=(Head(sentence=42, token=5), Head(sentence=42, token=0)), strength=0, verb=2)","Action Bronson brach einst die High School ab , um ungestört zu kiffen , wie er schreibt ."
91a8fd6a6cc26fe2e39b03fc6a9fa346ad00ad4ac25a224dd17cd9ff72630301,brachen,36,43,brechen,Die Spitzenvertreter der Demokraten,0,35,N,Spitzenvertreter,4,20,das Gespräch,44,56,N,Gespräch,48,56,con,"Predicate(type='con', args=(Head(sentence=11, token=1), Head(sentence=11, token=6)), strength=0, verb=4)",Die Spitzenvertreter der Demokraten brachen das Gespräch abrupt ab und verliessen das Weisse Haus .
d33d24c39ad910ecf832810f826bef81a6513947cf221b4793b0881cbbf47931,fehlen,9,15,fehlen,Freiräume,16,25,N,Freiräume,16,25,Zürich,2,8,N,Zürich,2,8,con,"Predicate(type='con', args=(Head(sentence=30, token=3), Head(sentence=30, token=1)), strength=0, verb=2)",« Zürich fehlen Freiräume .
ef3acd3cd134d0b2ae8a945b419814a51a1df74b9dd2d04df6c53ea28c5b9637,erregt,163,169,erregen,Der deutsche Zollbeamte ,0,24,N,Zollbeamte,13,23,die Unverschämtheit eines Schweins » erregt ,126,170,N,Unverschämtheit,130,145,con,"Predicate(type='con', args=(Head(sentence=17, token=2), Head(sentence=17, token=20)), strength=0, verb=24)","Der deutsche Zollbeamte , vor einem grossen Hitler-Porträt sitzend , hatte sich beim Anblick eines eintretenden Bauern über « die Unverschämtheit eines Schweins » erregt , « das vor dem Führerbild seine Mütze nicht abnahm » ."
b8a9f2c82904c2c9615d6c62c241c1f3382b57fa24e433c0577f89903acdd25c,schiesst,48,56,schießen,der beste Knipser der Challenge League,9,47,N,Knipser,19,26,GC,62,64,N,GC,62,64,con,"Predicate(type='con', args=(Head(sentence=0, token=4), Head(sentence=0, token=10)), strength=0, verb=8)",Turkes – der beste Knipser der Challenge League schiesst auch GC ab .
3df459039956f80e0fb613e355aa10a17aa00bfb2533d35fb204eeef3797c2c1,schossen,50,58,schießen,Schweizer Kampfflugzeuge,25,49,N,Kampfflugzeuge,35,49,deutsche Flugzeuge,64,82,N,Flugzeuge,73,82,con,"Predicate(type='con', args=(Head(sentence=11, token=6), Head(sentence=11, token=10)), strength=0, verb=7)","Man muss aber ergänzen : Schweizer Kampfflugzeuge schossen auch deutsche Flugzeuge ab , in der ersten Phase des Krieges ."
b1517a603ff47274e325dcc694276ba2f1d7aa09d0b3c23e3eb4f003f03ff254,siegt,148,153,siegen,Celestini übrigens,129,147,N,Celestini,129,138,Lugano,202,208,N,Lugano,202,208,con,"Predicate(type='con', args=(Head(sentence=14, token=22), Head(sentence=14, token=33)), strength=0, verb=24)","Trainer Maurizio Jacobacci : « Natürlich sind wir nach dem Spiel frustriert , beim entscheidenden Tor stand die Mauer falsch . » Celestini übrigens siegt nach zwei Remis und zwei Pleiten erstmals gegen Lugano – dank seinem Joker Tasar.MAURZIO URECH Varol Tasar ( l."
2bb88e1ee62f41eae4749e5e7670fa78129e73bba804217357c605a8fe428d23,brach,81,86,brechen,der Ringrichter,52,67,N,Ringrichter,56,67,den Fight,87,96,N,Fight,91,96,con,"Predicate(type='con', args=(Head(sentence=14, token=11), Head(sentence=14, token=16)), strength=0, verb=14)","Dann , nach einem Hagel an harten Schlägen , sprang der Ringrichter dazwischen , brach den Fight ab ."
